dataset,family,graph,alpha,base_distance,sigma,gamma,eigen_index,eigenvalue_lsym,k_true,true_k_gap,predicted_k_largest_gap,graph_seconds,accuracy,ari,nmi,purity,error
variable_density,synthetic,dense_rbf,0.7,2.5571704210202393,1.7900192947141673,0.15604669673367166,3,0.6576522551732527,3,0.2241816935816996,1.0,0.005666709000010428,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7,2.5571704210202393,1.7900192947141673,0.15604669673367166,4,0.8818339487549522,3,0.2241816935816996,1.0,0.005666709000010428,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7,2.5571704210202393,1.7900192947141673,0.15604669673367166,5,0.9238104580180689,3,0.2241816935816996,1.0,0.005666709000010428,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7,2.5571704210202393,1.7900192947141673,0.15604669673367166,6,0.9726572553351893,3,0.2241816935816996,1.0,0.005666709000010428,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7,2.5571704210202393,1.7900192947141673,0.15604669673367166,7,0.987512207783186,3,0.2241816935816996,1.0,0.005666709000010428,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7,2.5571704210202393,1.7900192947141673,0.15604669673367166,8,0.9921380745401178,3,0.2241816935816996,1.0,0.005666709000010428,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7,2.5571704210202393,1.7900192947141673,0.15604669673367166,9,0.9929226073551392,3,0.2241816935816996,1.0,0.005666709000010428,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7,2.5571704210202393,1.7900192947141673,0.15604669673367166,10,0.9993577163172381,3,0.2241816935816996,1.0,0.005666709000010428,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7,2.5571704210202393,1.7900192947141673,0.15604669673367166,11,1.0009057670214252,3,0.2241816935816996,1.0,0.005666709000010428,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7,2.5571704210202393,1.7900192947141673,0.15604669673367166,12,1.0026453287029595,3,0.2241816935816996,1.0,0.005666709000010428,0.912,0.7761313951475374,0.7773901376349587,0.912,
