dataset,family,graph,n_neighbors,repeat,alpha,sigma,gamma,graph_seconds,affinity_bytes,nnz_affinity,accuracy,ari,nmi,purity,eigensolver_seconds,post_kmeans_seconds,total_seconds,embedding_distortion,error
digits_all,digits,knn_rbf,2.0,4,0.7,2.5605982275248382,0.0762583006681749,0.007468458000001732,71896,5392,0.6722314969393434,0.6547079322278841,0.7953719791156165,0.679465776293823,0.6063635839999968,0.03760899999999978,0.6514410419999983,46.95000113537503,
digits_all,digits,knn_rbf,3.0,0,0.7,2.6531806963266265,0.07102910569287324,0.008205708999998507,102016,7902,0.7523650528658876,0.6634842226343162,0.8192467854332355,0.7690595436839176,0.12205300000000108,0.03922929199999814,0.16948800099999772,42.16702904404805,
digits_all,digits,knn_rbf,3.0,1,0.7,2.6531806963266265,0.07102910569287324,0.013645000000000351,102016,7902,0.7523650528658876,0.6634842226343162,0.8192467854332355,0.7690595436839176,0.1275325419999973,0.07597529200000253,0.21715283400000018,42.167029044048036,
digits_all,digits,knn_rbf,3.0,2,0.7,2.6531806963266265,0.07102910569287324,0.01450233399999945,102016,7902,0.7523650528658876,0.6634842226343162,0.8192467854332356,0.7690595436839176,0.14694395800000137,0.1300704589999988,0.29151675099999963,42.167029044048036,
digits_all,digits,knn_rbf,3.0,3,0.7,2.6531806963266265,0.07102910569287324,0.014774124999998861,102016,7902,0.7523650528658876,0.6634842226343162,0.8192467854332355,0.7690595436839176,0.16754545799999931,0.048472875000001636,0.2307924579999998,42.16702904404805,
digits_all,digits,knn_rbf,3.0,4,0.7,2.6531806963266265,0.07102910569287324,0.012122207999997414,102016,7902,0.7523650528658876,0.6634842226343162,0.8192467854332355,0.7690595436839176,0.17272291700000153,0.04874208300000049,0.23358720799999944,42.167029044048036,
digits_all,digits,knn_rbf,4.0,0,0.7,2.73093917677348,0.06704184366460315,0.010880000000000223,131152,10330,0.7562604340567612,0.6702865494819404,0.8255668270083002,0.7729549248747913,0.12863245899999853,0.059274832999999916,0.19878729199999867,54.016060297944456,
digits_all,digits,knn_rbf,4.0,1,0.7,2.73093917677348,0.06704184366460315,0.011440667000002236,131152,10330,0.7557039510294936,0.6694997040527627,0.8250359399579199,0.7723984418475236,0.11597137499999732,0.05285804200000044,0.180270084,54.01592872294722,
digits_all,digits,knn_rbf,4.0,2,0.7,2.73093917677348,0.06704184366460315,0.015270292000000296,131152,10330,0.8464106844741235,0.8030796657960579,0.8640759717223522,0.8619922092376182,0.11996995799999866,0.05282595799999967,0.18806620799999862,55.89779573087436,
digits_all,digits,knn_rbf,4.0,3,0.7,2.73093917677348,0.06704184366460315,0.011320250000000698,131152,10330,0.7557039510294936,0.6694997040527627,0.8250359399579197,0.7723984418475236,0.12020566700000046,0.07079645900000031,0.20232237600000147,54.01592872294722,
