dataset,family,graph,n_neighbors,alpha,sigma,gamma,graph_seconds,affinity_bytes,nnz_affinity,accuracy,ari,nmi,purity,eigensolver_seconds,post_kmeans_seconds,total_seconds,embedding_distortion,error
digits_all,digits,knn_rbf,2.0,0.7,2.5605982275248382,0.0762583006681749,0.008990374999999773,71896,5392,0.7540345019476906,0.6961880621041122,0.8000568974923649,0.7612687813021702,0.9481593749999995,0.041396000000000654,0.9985457499999999,53.05829989579849,
digits_all,digits,knn_rbf,3.0,0.7,2.6531806963266265,0.07102910569287324,0.008886333000000413,102016,7902,0.7523650528658876,0.6623359255288787,0.8162093071869608,0.7679465776293823,0.12494820900000025,0.06964162500000004,0.2034761670000007,41.868974379741786,
digits_all,digits,knn_rbf,4.0,0.7,2.73093917677348,0.06704184366460315,0.014413667000000352,131152,10330,0.7573734001112966,0.6716330039012856,0.8278140719890147,0.773511407902059,0.10628691699999937,0.10785137500000008,0.2285519589999998,52.304943682519195,
digits_all,digits,knn_rbf,6.0,0.7,2.867845221386734,0.06079370155355132,0.01816108399999994,191248,15338,0.7696160267111853,0.6793349369498425,0.83151277559904,0.7846410684474123,0.08766787500000017,0.1430154589999999,0.248844418,62.12915210797168,
digits_all,digits,knn_rbf,8.0,0.7,2.9717447393572907,0.05661701900255785,0.015665999999999514,250288,20258,0.7501391207568169,0.6612780471217299,0.8160492104882863,0.766833611574847,0.07752766700000002,0.09690137500000073,0.19009504200000027,60.575072026109964,
digits_all,digits,knn_rbf,10.0,0.7,3.0546172388081265,0.05358662530417663,0.03712966700000031,310024,25236,0.7473567056204786,0.6554241131713314,0.8110204716873229,0.7629382303839732,0.07535458300000109,0.13980362500000076,0.25228787500000216,62.58210264961988,
digits_all,digits,knn_rbf,12.0,0.7,3.132086272031194,0.05096858447444782,0.03249733300000024,369088,30158,0.7117417918753478,0.6231948611168998,0.7851821710794714,0.7356705620478575,0.07716925000000074,0.09773350000000036,0.20740008300000135,62.49640235729781,
digits_all,digits,knn_rbf,16.0,0.7,3.2492793096696224,0.04735827925707674,0.03700891699999964,487528,40028,0.8319421257651641,0.7555839434269087,0.8269433070421317,0.8336115748469671,0.06975854100000056,0.12145600000000023,0.22822345800000043,81.88445806852357,
digits_all,digits,knn_rbf,24.0,0.7,3.4485969237737812,0.042042170719549944,0.07252262500000128,722464,59606,0.780189204229271,0.7173185329481467,0.7985720779213206,0.8030050083472454,0.054760500000000434,0.12775483299999912,0.25503795800000084,88.93159266118727,
digits_all,digits,knn_rbf,32.0,0.7,3.595271916560724,0.03868178614252919,0.09177125000000075,956416,79102,0.7746243739565943,0.7093866000072897,0.7950071285902539,0.796883695047301,0.057341958000000304,0.1315659999999994,0.28067920800000046,98.17778207493116,
digits_all,digits,knn_rbf,48.0,0.7,3.822590321271219,0.034217989811250675,0.0411792920000007,1414024,117236,0.7679465776293823,0.6927059949663381,0.7824353533074812,0.7913188647746243,0.05410041599999893,0.13742404199999925,0.23270374999999888,114.40924964571127,
two_moons,synthetic,dense_rbf_reference,,0.7,0.8079807862786698,0.7658927130402284,0.0065225410000007145,2000000,249500,0.764,0.2773366109520323,0.21187988589453186,0.764,0.11612416699999883,0.11592633300000088,0.23857304100000043,46.35065738015795,
two_moons,synthetic,knn_rbf,2.0,0.7,0.02721744769728221,674.9556082652889,0.001539665999999329,18276,1356,,,,,,,,,"ARPACK error -1: No convergence (5001 iterations, 0/2 eigenvectors converged)"
two_moons,synthetic,knn_rbf,3.0,0.7,0.03136712402033919,508.1835493850267,0.0016227500000010053,25452,1954,0.616,0.052362473265380835,0.05677061172288613,0.616,1.2905051249999993,0.007821666999999977,1.2999495420000002,52.04462310633359,
two_moons,synthetic,knn_rbf,4.0,0.7,0.035876083556053984,388.4722050016006,0.001300541999999183,32844,2570,1.0,1.0,1.0,1.0,0.466895375,0.009726333999999781,0.47792225099999897,5.548349500340017e-23,
two_moons,synthetic,knn_rbf,6.0,0.7,0.043347016147560806,266.1041142104489,0.001346999999999099,47004,3750,1.0,1.0,1.0,1.0,0.24093287500000038,0.010842541000000594,0.2531224160000001,1.1151569977133197e-24,
two_moons,synthetic,knn_rbf,8.0,0.7,0.04977762937138126,201.79090348343126,0.0018850410000013085,60972,4914,1.0,1.0,1.0,1.0,0.20381470799999946,0.013574375000001027,0.2192741240000018,1.6574155564804127e-23,
two_moons,synthetic,knn_rbf,10.0,0.7,0.05582280214394277,160.45259239084137,0.0024109169999988467,75060,6088,1.0,1.0,1.0,1.0,0.10093004199999989,0.011542375000001215,0.11488333399999995,9.684906822105976e-07,
two_moons,synthetic,knn_rbf,12.0,0.7,0.061654845847189305,131.53325629978647,0.0025304160000008125,88812,7234,1.0,1.0,1.0,1.0,0.08451445799999924,0.027421459000001036,0.11446633300000109,3.1488305001500795e-05,
two_moons,synthetic,knn_rbf,16.0,0.7,0.07175685176584992,97.105370939606,0.0029250840000010214,115116,9426,1.0,1.0,1.0,1.0,0.03875416700000045,0.011733917000000815,0.05341316800000229,0.001690596471036798,
two_moons,synthetic,knn_rbf,24.0,0.7,0.09079379137110515,60.653756135375495,0.003115415999999982,165060,13588,1.0,1.0,1.0,1.0,0.025487250000001183,0.0088464160000008,0.037449082000001965,0.06608217622265199,
two_moons,synthetic,knn_rbf,32.0,0.7,0.10848819219939548,42.482010271877265,0.003426916000000446,213252,17604,1.0,1.0,1.0,1.0,0.02354858400000026,0.014296665999999902,0.04127216600000061,0.32983086346732216,
two_moons,synthetic,knn_rbf,48.0,0.7,0.14126926235690687,25.053860178720353,0.005080959000000718,314724,26060,1.0,1.0,1.0,1.0,0.015554916999999335,0.013119165999999183,0.033755041999999236,2.7681896601863425,
circles,synthetic,dense_rbf_reference,,0.7,0.6605691203127904,1.1458650380298248,0.010081541999999999,2000000,249500,0.508,-0.0017513893331547845,0.00018468893066122505,0.508,0.38321904200000034,0.044867791999999795,0.43816837600000014,45.61084047815922,
circles,synthetic,knn_rbf,2.0,0.7,0.02619587179816904,728.6253746915653,0.001657916999999287,17772,1314,,,,,,,,,"ARPACK error -1: No convergence (5001 iterations, 0/2 eigenvectors converged)"
circles,synthetic,knn_rbf,3.0,0.7,0.031512566329464684,503.5034593076307,0.0014682500000020582,24972,1914,,,,,,,,,"ARPACK error -1: No convergence (5001 iterations, 0/2 eigenvectors converged)"
circles,synthetic,knn_rbf,4.0,0.7,0.035262702049054885,402.1044034876652,0.0014331659999982094,32148,2512,1.0,1.0,1.0,1.0,0.8766912090000005,0.007350666000000672,0.8854750409999994,8.076918895549065e-23,
circles,synthetic,knn_rbf,6.0,0.7,0.04264405050254769,274.94960894170504,0.001446208999997367,45612,3634,1.0,1.0,1.0,1.0,0.22111575000000272,0.006631999999999749,0.22919395899999984,9.26229601856217e-25,
