dataset,family,graph,alpha,base_distance,sigma,gamma,n_neighbors,graph_seconds,affinity_bytes,nnz_affinity,accuracy,ari,nmi,purity,eigensolver_seconds,post_kmeans_seconds,total_seconds,embedding_distortion,error
digits_01,digits,knn_rbf,3.0,4.438492055901602,13.315476167704805,0.002820048653086479,16.0,0.01208395799999984,98884,8120,1.0,1.0,1.0,1.0,0.023651957999999862,0.03038470800000015,0.06612062399999985,1.6763899794434356,
digits_01,digits,knn_rbf,5.0,4.438492055901602,22.19246027950801,0.0010152175151111325,16.0,0.00324170800000001,98884,8120,1.0,1.0,1.0,1.0,0.009820416999999804,0.0127008329999998,0.025762957999999614,1.9414019370269688,
digits_17,digits,dense_rbf,0.1,9.706506462765532,0.9706506462765532,0.530693915333117,,0.020846584000000057,1042568,129960,0.518005540166205,0.0010799935874672062,0.025621634338377292,0.518005540166205,0.04521750000000013,0.03771929199999979,0.10378337599999998,7.935091696352837,
digits_17,digits,dense_rbf,0.2,9.706506462765532,1.9413012925531064,0.13267347883327926,,0.01214941699999983,1042568,129960,0.5096952908587258,0.00018825444858142624,0.0040102443170413555,0.5096952908587258,0.03814308300000002,0.02821945800000014,0.07851195799999999,0.7590431640549614,
digits_17,digits,dense_rbf,0.35,9.706506462765532,3.397277261967936,0.04332195227209118,,0.007214292000000011,1042568,129960,0.5235457063711911,0.0018857993704204147,0.022087951654064884,0.5235457063711911,0.009528167000000032,0.013590082999999975,0.030332542000000018,2.5560899070583725,
digits_17,digits,dense_rbf,0.5,9.706506462765532,4.853253231382766,0.02122775661332468,,0.00817837499999996,1042568,129960,1.0,1.0,1.0,1.0,0.009511625000000024,0.020044167,0.037734166999999985,28.95055273997874,
digits_17,digits,dense_rbf,0.7,9.706506462765532,6.794554523935872,0.010830488068022795,,0.014402749999999909,1042568,129960,1.0,1.0,1.0,1.0,0.0189092500000001,0.01913854199999987,0.05245054199999988,19.690257571955435,
digits_17,digits,dense_rbf,0.7071067811865475,9.706506462765532,6.8635365414525555,0.010613878306662343,,0.007500417000000148,1042568,129960,1.0,1.0,1.0,1.0,0.021711874999999825,0.045405999999999835,0.07461829199999981,19.599111576207466,
digits_17,digits,dense_rbf,1.0,9.706506462765532,9.706506462765532,0.00530693915333117,,0.011811416999999658,1042568,129960,1.0,1.0,1.0,1.0,0.010654916999999653,0.028472875000000286,0.0509392089999996,18.253868085765557,
digits_17,digits,dense_rbf,1.4,9.706506462765532,13.589109047871744,0.0027076220170056987,,0.008042917000000038,1042568,129960,1.0,1.0,1.0,1.0,0.010481249999999775,0.01738054199999972,0.035904708999999535,18.03928332606143,
digits_17,digits,dense_rbf,2.0,9.706506462765532,19.413012925531064,0.0013267347883327925,,0.012674875000000085,1042568,129960,1.0,1.0,1.0,1.0,0.011348416000000139,0.020570291999999935,0.04459358300000016,17.963039427085597,
